Country/Region,Last Update,Confirmed,Deaths,Recovered
 Azerbaijan,2020-02-28,1.0,0.0,0.0
Afghanistan,2020-02-24,13.0,0.0,0.0
Afghanistan,2020-03-08,8.0,0.0,0.0
Afghanistan,2020-03-10,5.0,0.0,0.0
Afghanistan,2020-03-11,21.0,0.0,0.0
Afghanistan,2020-03-14,11.0,0.0,0.0
Afghanistan,2020-03-15,16.0,0.0,0.0
Afghanistan,2020-03-16,21.0,0.0,1.0
Afghanistan,2020-03-17,66.0,0.0,3.0
Afghanistan,2020-03-20,48.0,0.0,2.0
Afghanistan,2020-03-22,40.0,1.0,1.0
Afghanistan,2020-03-23,40.0,1.0,1.0
Afghanistan,2020-03-24,74.0,1.0,1.0
Afghanistan,2020-03-25,84.0,2.0,2.0
Afghanistan,2020-03-26,94.0,4.0,2.0
Afghanistan,2020-03-27,110.0,4.0,2.0
Afghanistan,2020-03-28,110.0,4.0,2.0
Afghanistan,2020-03-29,120.0,4.0,2.0
Afghanistan,2020-03-30,170.0,4.0,2.0
Afghanistan,2020-03-31,174.0,4.0,5.0
Afghanistan,2020-04-01,237.0,4.0,5.0
Afghanistan,2020-04-02,273.0,6.0,10.0
Afghanistan,2020-04-03,281.0,6.0,10.0
Afghanistan,2020-04-04,299.0,7.0,10.0
Afghanistan,2020-04-05,349.0,7.0,15.0
Afghanistan,2020-04-06,367.0,11.0,18.0
Afghanistan,2020-04-07,423.0,14.0,18.0
Afghanistan,2020-04-08,444.0,14.0,29.0
Afghanistan,2020-04-09,484.0,15.0,32.0
Afghanistan,2020-04-10,521.0,15.0,32.0
Afghanistan,2020-04-11,555.0,18.0,32.0
Afghanistan,2020-04-12,607.0,18.0,32.0
Afghanistan,2020-04-13,665.0,21.0,32.0
Afghanistan,2020-04-14,714.0,23.0,40.0
Afghanistan,2020-04-15,784.0,25.0,43.0
Afghanistan,2020-04-16,840.0,30.0,54.0
Afghanistan,2020-04-17,906.0,30.0,99.0
Afghanistan,2020-04-18,933.0,30.0,112.0
Afghanistan,2020-04-19,996.0,33.0,131.0
Afghanistan,2020-04-20,1026.0,36.0,135.0
Afghanistan,2020-04-21,1092.0,36.0,150.0
Afghanistan,2020-04-22,1176.0,40.0,166.0
Afghanistan,2020-04-24,1279.0,42.0,179.0
Afghanistan,2020-04-25,1351.0,43.0,188.0
Afghanistan,2020-04-26,1463.0,47.0,188.0
Afghanistan,2020-04-27,1531.0,50.0,207.0
Afghanistan,2020-04-28,1703.0,57.0,220.0
Afghanistan,2020-04-29,1828.0,58.0,228.0
