,Country/Region,Date,Confirmed,Deaths,Recovered,USD,EUR,CHF,CNY,SEK,UAH,JPY
0, Azerbaijan,2020-02-28,1.0,0.0,0.0,65.6097,71.6458,67.5066,9.35091,6.77975,2.66909,0.596425
1,Afghanistan,2020-02-24,13.0,0.0,0.0,,,,,,,
2,Afghanistan,2020-03-08,8.0,0.0,0.0,,,,,,,
3,Afghanistan,2020-03-10,5.0,0.0,0.0,,,,,,,
4,Afghanistan,2020-03-11,21.0,0.0,0.0,,,,,,,
5,Afghanistan,2020-03-14,11.0,0.0,0.0,73.1882,81.861,77.3905,10.4653,7.506480000000002,2.8045400000000003,0.690292
6,Afghanistan,2020-03-15,16.0,0.0,0.0,,,,,,,
7,Afghanistan,2020-03-16,21.0,0.0,1.0,,,,,,,
8,Afghanistan,2020-03-17,66.0,0.0,3.0,74.1262,82.7471,78.732,10.5928,7.695989999999999,2.8124,0.6978880000000001
9,Afghanistan,2020-03-20,48.0,0.0,2.0,80.157,87.2669,82.5,11.3037,7.7591800000000015,2.88383,0.735453
10,Afghanistan,2020-03-22,40.0,1.0,1.0,,,,,,,
11,Afghanistan,2020-03-23,40.0,1.0,1.0,,,,,,,
12,Afghanistan,2020-03-24,74.0,1.0,1.0,80.8815,86.705,82.0466,11.3634,7.771539999999999,2.87703,0.733785
13,Afghanistan,2020-03-25,84.0,2.0,2.0,78.8493,85.4253,80.689,11.1405,7.740869999999999,2.83733,0.712054
14,Afghanistan,2020-03-26,94.0,4.0,2.0,77.7928,84.1485,79.2591,10.956,7.737189999999999,2.7783100000000003,0.697537
15,Afghanistan,2020-03-27,110.0,4.0,2.0,78.7223,85.9648,80.8818,11.0961,7.8091300000000015,2.79902,0.7132259999999999
16,Afghanistan,2020-03-28,110.0,4.0,2.0,77.7325,85.7389,80.7191,10.9611,7.8,2.7521299999999997,0.7140270000000001
17,Afghanistan,2020-03-29,120.0,4.0,2.0,,,,,,,
18,Afghanistan,2020-03-30,170.0,4.0,2.0,,,,,,,
19,Afghanistan,2020-03-31,174.0,4.0,5.0,,,,,,,
