,Date,Units,Rate,Currency
0,2020-01-22,1,63.9,CHF
1,2020-01-23,1,63.6614,CHF
2,2020-01-24,1,63.9797,CHF
3,2020-01-25,1,63.7342,CHF
4,2020-01-28,1,64.1734,CHF
5,2020-01-29,1,64.7731,CHF
6,2020-01-30,1,64.0721,CHF
7,2020-01-31,1,64.9185,CHF
8,2020-01-02,1,65.0577,CHF
9,2020-04-02,1,66.3164,CHF
10,2020-05-02,1,65.4366,CHF
11,2020-06-02,1,65.2356,CHF
12,2020-07-02,1,64.4608,CHF
13,2020-08-02,1,65.0861,CHF
14,2020-11-02,1,65.2453,CHF
15,2020-12-02,1,65.3675,CHF
16,2020-02-13,1,64.6172,CHF
17,2020-02-14,1,65.0989,CHF
18,2020-02-15,1,64.709,CHF
19,2020-02-18,1,64.4952,CHF
20,2020-02-19,1,65.0579,CHF
21,2020-02-20,1,64.7953,CHF
22,2020-02-21,1,64.7975,CHF
23,2020-02-22,1,65.4594,CHF
24,2020-02-26,1,66.3817,CHF
25,2020-02-27,1,67.1976,CHF
26,2020-02-28,1,67.5066,CHF
27,2020-02-29,1,69.4278,CHF
28,2020-03-03,1,68.8258,CHF
29,2020-04-03,1,69.335,CHF
30,2020-05-03,1,69.2355,CHF
31,2020-06-03,1,69.2026,CHF
32,2020-07-03,1,71.6214,CHF
33,2020-11-03,1,77.4584,CHF
34,2020-12-03,1,76.457,CHF
35,2020-03-13,1,79.0638,CHF
36,2020-03-14,1,77.3905,CHF
37,2020-03-17,1,78.732,CHF
38,2020-03-18,1,77.754,CHF
39,2020-03-19,1,80.2798,CHF
40,2020-03-20,1,82.5,CHF
41,2020-03-21,1,79.8081,CHF
42,2020-03-24,1,82.0466,CHF
43,2020-03-25,1,80.689,CHF
44,2020-03-26,1,79.2591,CHF
45,2020-03-27,1,80.8818,CHF
46,2020-03-28,1,80.7191,CHF
47,2020-07-04,1,78.1901,CHF
48,2020-08-04,1,77.5408,CHF
49,2020-09-04,1,77.916,CHF
50,2020-10-04,1,76.849,CHF
51,2020-11-04,1,76.4185,CHF
52,2020-04-14,1,76.1202,CHF
53,2020-04-15,1,75.9347,CHF
54,2020-04-16,1,76.4911,CHF
55,2020-04-17,1,77.2775,CHF
56,2020-04-18,1,76.1212,CHF
