,Date,Units,Rate,Currency
0,2020-01-22,10,89.5518,CNY
1,2020-01-23,10,89.5838,CNY
2,2020-01-24,10,89.3909,CNY
3,2020-01-25,10,89.0958,CNY
4,2020-01-28,10,89.8669,CNY
5,2020-01-29,10,90.5761,CNY
6,2020-01-30,10,89.9468,CNY
7,2020-01-31,10,90.873,CNY
8,2020-01-02,10,91.0209,CNY
9,2020-04-02,10,90.9738,CNY
10,2020-05-02,10,90.7447,CNY
11,2020-06-02,10,90.2489,CNY
12,2020-07-02,10,90.0958,CNY
13,2020-08-02,10,90.8599,CNY
14,2020-11-02,10,91.2994,CNY
15,2020-12-02,10,91.6542,CNY
16,2020-02-13,10,90.4185,CNY
17,2020-02-14,10,91.1159,CNY
18,2020-02-15,10,90.909,CNY
19,2020-02-18,10,90.6947,CNY
20,2020-02-19,10,91.0373,CNY
21,2020-02-20,10,91.0625,CNY
22,2020-02-21,10,90.8488,CNY
23,2020-02-22,10,91.3571,CNY
24,2020-02-26,10,92.5319,CNY
25,2020-02-27,10,93.3593,CNY
26,2020-02-28,10,93.5091,CNY
27,2020-02-29,10,95.8341,CNY
28,2020-03-03,10,95.3363,CNY
29,2020-04-03,10,95.1779,CNY
30,2020-05-03,10,95.3017,CNY
31,2020-06-03,10,95.3392,CNY
32,2020-07-03,10,97.2861,CNY
33,2020-11-03,1,10.3666,CNY
34,2020-12-03,1,10.2829,CNY
35,2020-03-13,1,10.5985,CNY
36,2020-03-14,1,10.4653,CNY
37,2020-03-17,1,10.5928,CNY
38,2020-03-18,1,10.5398,CNY
39,2020-03-19,1,10.9906,CNY
40,2020-03-20,1,11.3037,CNY
41,2020-03-21,1,11.0463,CNY
42,2020-03-24,1,11.3634,CNY
43,2020-03-25,1,11.1405,CNY
44,2020-03-26,1,10.956,CNY
45,2020-03-27,1,11.0961,CNY
46,2020-03-28,1,10.9611,CNY
47,2020-07-04,1,10.7725,CNY
48,2020-08-04,1,10.696,CNY
49,2020-09-04,1,10.7178,CNY
50,2020-10-04,1,10.5694,CNY
51,2020-11-04,1,10.4826,CNY
52,2020-04-14,1,10.4312,CNY
53,2020-04-15,1,10.3834,CNY
54,2020-04-16,1,10.438,CNY
55,2020-04-17,1,10.5615,CNY
56,2020-04-18,1,10.4488,CNY
57,2020-04-21,1,10.553,CNY
58,2020-04-22,1,10.758,CNY
59,2020-04-23,1,10.8759,CNY
60,2020-04-24,1,10.6125,CNY
61,2020-04-25,1,10.5493,CNY
62,2020-04-28,1,10.5159,CNY
63,2020-04-29,1,10.525,CNY
64,2020-04-30,1,10.4153,CNY
65,2020-01-05,1,10.313,CNY
