,Date,Units,Rate,Currency
0,2020-01-22,1,68.6222,EUR
1,2020-01-23,1,68.5186,EUR
2,2020-01-24,1,68.6856,EUR
3,2020-01-25,1,68.2924,EUR
4,2020-01-28,1,68.7775,EUR
5,2020-01-29,1,69.226,EUR
6,2020-01-30,1,68.6764,EUR
7,2020-01-31,1,69.4151,EUR
8,2020-01-02,1,69.5976,EUR
9,2020-04-02,1,70.7921,EUR
10,2020-05-02,1,70.1265,EUR
11,2020-06-02,1,69.7443,EUR
12,2020-07-02,1,69.0837,EUR
13,2020-08-02,1,69.6288,EUR
14,2020-11-02,1,69.8226,EUR
15,2020-12-02,1,69.7684,EUR
16,2020-02-13,1,68.7843,EUR
17,2020-02-14,1,69.1795,EUR
18,2020-02-15,1,68.771,EUR
19,2020-02-18,1,68.6201,EUR
20,2020-02-19,1,69.0882,EUR
21,2020-02-20,1,68.7823,EUR
22,2020-02-21,1,68.7705,EUR
23,2020-02-22,1,69.4191,EUR
24,2020-02-26,1,70.4591,EUR
25,2020-02-27,1,71.2439,EUR
26,2020-02-28,1,71.6458,EUR
27,2020-02-29,1,73.7235,EUR
28,2020-03-03,1,73.4178,EUR
29,2020-04-03,1,73.9385,EUR
30,2020-05-03,1,73.7369,EUR
31,2020-06-03,1,73.6842,EUR
32,2020-07-03,1,75.8424,EUR
33,2020-11-03,1,81.8588,EUR
34,2020-12-03,1,81.0207,EUR
35,2020-03-13,1,83.6584,EUR
36,2020-03-14,1,81.861,EUR
37,2020-03-17,1,82.7471,EUR
38,2020-03-18,1,82.3056,EUR
39,2020-03-19,1,84.8881,EUR
40,2020-03-20,1,87.2669,EUR
41,2020-03-21,1,84.1552,EUR
42,2020-03-24,1,86.705,EUR
43,2020-03-25,1,85.4253,EUR
44,2020-03-26,1,84.1485,EUR
45,2020-03-27,1,85.9648,EUR
46,2020-03-28,1,85.7389,EUR
47,2020-07-04,1,82.6346,EUR
48,2020-08-04,1,82.012,EUR
49,2020-09-04,1,82.2341,EUR
50,2020-10-04,1,81.0882,EUR
51,2020-11-04,1,80.7358,EUR
52,2020-04-14,1,80.5387,EUR
53,2020-04-15,1,80.1186,EUR
54,2020-04-16,1,80.6731,EUR
55,2020-04-17,1,81.2791,EUR
56,2020-04-18,1,80.111,EUR
