,Date,Units,Rate,Currency
0,2020-01-22,100,56.2499,JPY
1,2020-01-23,100,56.213,JPY
2,2020-01-24,100,56.5457,JPY
3,2020-01-25,100,56.3871,JPY
4,2020-01-28,100,57.1253,JPY
5,2020-01-29,100,57.6553,JPY
6,2020-01-30,100,57.1656,JPY
7,2020-01-31,100,57.9028,JPY
8,2020-01-02,100,57.9119,JPY
9,2020-04-02,100,58.8943,JPY
10,2020-05-02,100,58.1725,JPY
11,2020-06-02,100,57.7329,JPY
12,2020-07-02,100,57.1226,JPY
13,2020-08-02,100,57.7622,JPY
14,2020-11-02,100,58.0923,JPY
15,2020-12-02,100,58.1804,JPY
16,2020-02-13,100,57.3493,JPY
17,2020-02-14,100,57.9487,JPY
18,2020-02-15,100,57.7981,JPY
19,2020-02-18,100,57.6265,JPY
20,2020-02-19,100,58.1337,JPY
21,2020-02-20,100,57.8476,JPY
22,2020-02-21,100,57.0954,JPY
23,2020-02-22,100,57.5991,JPY
24,2020-02-26,100,58.6965,JPY
25,2020-02-27,100,59.3538,JPY
26,2020-02-28,100,59.6425,JPY
27,2020-02-29,100,61.5414,JPY
28,2020-03-03,100,61.2922,JPY
29,2020-04-03,100,61.5134,JPY
30,2020-05-03,100,61.5112,JPY
31,2020-06-03,100,61.7027,JPY
32,2020-07-03,100,63.777,JPY
33,2020-11-03,100,69.0748,JPY
34,2020-12-03,100,68.1042,JPY
35,2020-03-13,100,71.424,JPY
36,2020-03-14,100,69.0292,JPY
37,2020-03-17,100,69.7888,JPY
38,2020-03-18,100,69.2272,JPY
39,2020-03-19,100,71.9366,JPY
40,2020-03-20,100,73.5453,JPY
41,2020-03-21,100,71.0624,JPY
42,2020-03-24,100,73.3785,JPY
43,2020-03-25,100,71.2054,JPY
44,2020-03-26,100,69.7537,JPY
45,2020-03-27,100,71.3226,JPY
46,2020-03-28,100,71.4027,JPY
47,2020-07-04,100,70.0247,JPY
48,2020-08-04,100,69.3106,JPY
49,2020-09-04,100,69.6391,JPY
50,2020-10-04,100,68.5047,JPY
51,2020-11-04,100,68.0459,JPY
52,2020-04-14,100,68.0877,JPY
53,2020-04-15,100,68.143,JPY
54,2020-04-16,100,68.6642,JPY
55,2020-04-17,100,69.3285,JPY
56,2020-04-18,100,68.5588,JPY
