,Date,Units,Rate,Currency
0,2020-01-22,10,64.8785,SEK
1,2020-01-23,10,64.8811,SEK
2,2020-01-24,10,65.1435,SEK
3,2020-01-25,10,64.8117,SEK
4,2020-01-28,10,65.0771,SEK
5,2020-01-29,10,65.2283,SEK
6,2020-01-30,10,64.8992,SEK
7,2020-01-31,10,65.3628,SEK
8,2020-01-02,10,65.3506,SEK
9,2020-04-02,10,66.3501,SEK
10,2020-05-02,10,65.8359,SEK
11,2020-06-02,10,66.0479,SEK
12,2020-07-02,10,65.5235,SEK
13,2020-08-02,10,65.8498,SEK
14,2020-11-02,10,66.0488,SEK
15,2020-12-02,10,66.156,SEK
16,2020-02-13,10,65.4741,SEK
17,2020-02-14,10,65.9405,SEK
18,2020-02-15,10,65.5404,SEK
19,2020-02-18,10,65.1704,SEK
20,2020-02-19,10,65.4949,SEK
21,2020-02-20,10,65.1353,SEK
22,2020-02-21,10,64.913,SEK
23,2020-02-22,10,65.4774,SEK
24,2020-02-26,10,66.7784,SEK
25,2020-02-27,10,67.4175,SEK
26,2020-02-28,10,67.7975,SEK
27,2020-02-29,10,69.2942,SEK
28,2020-03-03,10,69.6819,SEK
29,2020-04-03,10,69.8929,SEK
30,2020-05-03,10,69.9524,SEK
31,2020-06-03,10,69.7834,SEK
32,2020-07-03,10,71.6815,SEK
33,2020-11-03,10,76.3183,SEK
34,2020-12-03,10,75.332,SEK
35,2020-03-13,10,77.4694,SEK
36,2020-03-14,10,75.0648,SEK
37,2020-03-17,10,76.9599,SEK
38,2020-03-18,10,75.3929,SEK
39,2020-03-19,10,77.5053,SEK
40,2020-03-20,10,77.5918,SEK
41,2020-03-21,10,76.0999,SEK
42,2020-03-24,10,77.7154,SEK
43,2020-03-25,10,77.4087,SEK
44,2020-03-26,10,77.3719,SEK
45,2020-03-27,10,78.0913,SEK
46,2020-03-28,10,78.0,SEK
47,2020-07-04,10,75.2515,SEK
48,2020-08-04,10,75.4437,SEK
49,2020-09-04,10,75.1994,SEK
50,2020-10-04,10,74.3307,SEK
51,2020-11-04,10,74.3088,SEK
52,2020-04-14,10,73.8843,SEK
53,2020-04-15,10,73.6139,SEK
54,2020-04-16,10,73.7816,SEK
55,2020-04-17,10,74.3802,SEK
56,2020-04-18,10,73.6319,SEK
