,Date,Units,Rate,Currency
0,2020-01-22,10,25.5099,UAH
1,2020-01-23,10,25.4328,UAH
2,2020-01-24,10,25.2477,UAH
3,2020-01-25,10,25.5042,UAH
4,2020-01-28,10,25.4104,UAH
5,2020-01-29,10,25.4287,UAH
6,2020-01-30,10,25.1232,UAH
7,2020-01-31,10,25.2573,UAH
8,2020-01-02,10,25.2296,UAH
9,2020-04-02,10,25.4402,UAH
10,2020-05-02,10,25.5171,UAH
11,2020-06-02,10,25.4145,UAH
12,2020-07-02,10,25.5509,UAH
13,2020-08-02,10,25.8916,UAH
14,2020-11-02,10,26.0066,UAH
15,2020-12-02,10,26.1825,UAH
16,2020-02-13,10,25.7547,UAH
17,2020-02-14,10,25.8929,UAH
18,2020-02-15,10,25.9537,UAH
19,2020-02-18,10,25.8795,UAH
20,2020-02-19,10,26.1004,UAH
21,2020-02-20,10,25.9561,UAH
22,2020-02-21,10,26.0447,UAH
23,2020-02-22,10,26.3093,UAH
24,2020-02-26,10,26.4712,UAH
25,2020-02-27,10,26.5643,UAH
26,2020-02-28,10,26.6909,UAH
27,2020-02-29,10,27.257,UAH
28,2020-03-03,10,26.803,UAH
29,2020-04-03,10,26.64,UAH
30,2020-05-03,10,26.4485,UAH
31,2020-06-03,10,26.7627,UAH
32,2020-07-03,10,27.2248,UAH
33,2020-11-03,10,28.433,UAH
34,2020-12-03,10,27.9528,UAH
35,2020-03-13,10,28.6567,UAH
36,2020-03-14,10,28.0454,UAH
37,2020-03-17,10,28.124,UAH
38,2020-03-18,10,27.3767,UAH
39,2020-03-19,10,28.4034,UAH
40,2020-03-20,10,28.8383,UAH
41,2020-03-21,10,27.8755,UAH
42,2020-03-24,10,28.7703,UAH
43,2020-03-25,10,28.3733,UAH
44,2020-03-26,10,27.7831,UAH
45,2020-03-27,10,27.9902,UAH
46,2020-03-28,10,27.5213,UAH
47,2020-07-04,10,28.0394,UAH
48,2020-08-04,10,27.8478,UAH
49,2020-09-04,10,27.7828,UAH
50,2020-10-04,10,27.388,UAH
51,2020-11-04,10,27.1095,UAH
52,2020-04-14,10,27.1659,UAH
53,2020-04-15,10,26.9888,UAH
54,2020-04-16,10,27.1084,UAH
55,2020-04-17,10,27.4941,UAH
56,2020-04-18,10,27.319,UAH
57,2020-04-21,10,27.5755,UAH
58,2020-04-22,10,28.1536,UAH
59,2020-04-23,10,28.4512,UAH
60,2020-04-24,10,27.8333,UAH
61,2020-04-25,10,27.4855,UAH
62,2020-04-28,10,27.4842,UAH
63,2020-04-29,10,27.5677,UAH
64,2020-04-30,10,27.3605,UAH
65,2020-01-05,10,26.9798,UAH
