,Date,Units,Rate,Currency
0,2020-01-22,1,61.8552,USD
1,2020-01-23,1,61.8343,USD
2,2020-01-24,1,61.9515,USD
3,2020-01-25,1,61.8031,USD
4,2020-01-28,1,62.338,USD
5,2020-01-29,1,62.8299,USD
6,2020-01-30,1,62.3934,USD
7,2020-01-31,1,63.0359,USD
8,2020-01-02,1,63.1385,USD
9,2020-04-02,1,63.9091,USD
10,2020-05-02,1,63.4342,USD
11,2020-06-02,1,63.1742,USD
12,2020-07-02,1,62.7977,USD
13,2020-08-02,1,63.472,USD
14,2020-11-02,1,63.7708,USD
15,2020-12-02,1,63.949,USD
16,2020-02-13,1,63.047,USD
17,2020-02-14,1,63.6016,USD
18,2020-02-15,1,63.4536,USD
19,2020-02-18,1,63.3085,USD
20,2020-02-19,1,63.7698,USD
21,2020-02-20,1,63.6873,USD
22,2020-02-21,1,63.7413,USD
23,2020-02-22,1,64.3008,USD
24,2020-02-26,1,64.9213,USD
25,2020-02-27,1,65.5177,USD
26,2020-02-28,1,65.6097,USD
27,2020-02-29,1,66.9909,USD
28,2020-03-03,1,66.3274,USD
29,2020-04-03,1,66.4437,USD
30,2020-05-03,1,66.0784,USD
31,2020-06-03,1,66.1854,USD
32,2020-07-03,1,67.5175,USD
33,2020-11-03,1,72.0208,USD
34,2020-12-03,1,71.472,USD
35,2020-03-13,1,74.0274,USD
36,2020-03-14,1,73.1882,USD
37,2020-03-17,1,74.1262,USD
38,2020-03-18,1,73.8896,USD
39,2020-03-19,1,77.2131,USD
40,2020-03-20,1,80.157,USD
41,2020-03-21,1,78.0443,USD
42,2020-03-24,1,80.8815,USD
43,2020-03-25,1,78.8493,USD
44,2020-03-26,1,77.7928,USD
45,2020-03-27,1,78.7223,USD
46,2020-03-28,1,77.7325,USD
47,2020-07-04,1,76.4074,USD
48,2020-08-04,1,75.455,USD
49,2020-09-04,1,75.7499,USD
50,2020-10-04,1,74.605,USD
51,2020-11-04,1,73.7515,USD
52,2020-04-14,1,73.5245,USD
53,2020-04-15,1,73.315,USD
54,2020-04-16,1,73.7145,USD
55,2020-04-17,1,74.7119,USD
56,2020-04-18,1,73.9441,USD
